name,description,source,requiredDataConnectors,query,supported
Consent to Application discovery,"'This query looks at the last 14 days for any ""Consent to application"" operation
occurs by a user or app. This could indicate that permissions to access the listed AzureApp
was provided to a malicious actor. Consent to appliction, Add service principal and 
Add OAuth2PermissionGrant events should be rare. If available, additional context is added 
from the AuditLogs based on CorrleationId from the same account that performed ""Consent to 
application"".
For further information on AuditLogs please see 
https://docs.microsoft.com/azure/active-directory/reports-monitoring/reference-audit-activities
This may help detect the Oauth2 attack that can be initiated by this publicly available tool
https://github.com/fireeye/PwnAuth'
",AuditLogs,"{
    ""connectorId"":  ""AzureActiveDirectory"",
    ""dataTypes"":  [
                      ""AuditLogs""
                  ]
}","
let auditLookback = 14d;
// Setting threshold to 3 as a default, change as needed.  Any operation that has been initiated by a user or app more than 3 times in the past 30 days will be exluded
let threshold = 3;
// Helper function to extract relevant fields from AuditLog events
let auditLogEvents = view (startTimeSpan:timespan)  {
    AuditLogs | where TimeGenerated >= ago(auditLookback)
    | extend ModProps = TargetResources.[0].modifiedProperties
    | extend IpAddress = iff(isnotempty(tostring(parse_json(tostring(InitiatedBy.user)).ipAddress)), 
    tostring(parse_json(tostring(InitiatedBy.user)).ipAddress), tostring(parse_json(tostring(InitiatedBy.app)).ipAddress))
    | extend InitiatedBy = iff(isnotempty(tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)), 
    tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), tostring(parse_json(tostring(InitiatedBy.app)).displayName))
    | extend TargetResourceName = tolower(tostring(TargetResources.[0].displayName))
    | mvexpand ModProps
    | extend PropertyName = tostring(ModProps.displayName), newValue = replace(""\"""","""",tostring(ModProps.newValue));
};
// Get just the InitiatedBy and CorrleationId so we can look at associated audit activity
// 2 other operations that can be part of malicious activity in this situation are 
// ""Add OAuth2PermissionGrant"" and ""Add service principal"", replace the below if you are interested in those as starting points for OperationName
let HistoricalConsent = auditLogEvents(auditLookback)  
| where OperationName == ""Consent to application""
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), OperationCount = count() 
by Type, InitiatedBy, IpAddress, TargetResourceName, Category, OperationName, PropertyName, newValue, CorrelationId, Id
// Remove comment below to only include operations initiated by a user or app that is above the threshold for the last 30 days
//| where OperationCount > threshold
;
let Correlate = HistoricalConsent 
| summarize by InitiatedBy, CorrelationId;
// 2 other operations that can be part of malicious activity in this situation are 
// ""Add OAuth2PermissionGrant"" and ""Add service principal"", replace the below if you changed the starting OperationName above
let allOtherEvents = auditLogEvents(auditLookback) 
| where OperationName != ""Consent to application"";
// Gather associated activity based on audit activity for ""Consent to application"" and InitiatedBy and CorrleationId
let CorrelatedEvents = Correlate 
| join allOtherEvents on InitiatedBy, CorrelationId
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated) 
by Type, InitiatedBy, IpAddress, TargetResourceName, Category, OperationName, PropertyName, newValue, CorrelationId, Id
;
// Union the results
let Results = union isfuzzy=true HistoricalConsent,CorrelatedEvents;
// newValues that are simple semi-colon separated, make those dynamic for easy viewing and Aggregate into the PropertyUpdate set based on CorrelationId and Id(DirectoryId)
Results
| extend newValue = split(newValue, "";"")
| extend PropertyUpdate = pack(PropertyName, newValue, ""Id"", Id)
| summarize StartTimeUtc = min(StartTimeUtc), EndTimeUtc = max(EndTimeUtc), PropertyUpdateSet = make_bag(PropertyUpdate) 
by InitiatedBy, IpAddress, TargetResourceName, OperationName, CorrelationId
| extend timestamp = StartTimeUtc, AccountCustomEntity = InitiatedBy, HostCustomEntity = TargetResourceName, IPCustomEntity = IpAddress
",yes
Rare Audit activity initiated by App,"'Compares the current day to the last 14 days of audits to identify new audit activities by 
OperationName, InitiatedByApp, UserPrincipalName, PropertyName, newValue
This can be useful when attempting to track down malicious activity related to additions of new users,
additions to groups, removal from groups by Azure Apps and automated approvals.'
",AuditLogs,"{
    ""connectorId"":  ""AzureActiveDirectory"",
    ""dataTypes"":  [
                      ""AuditLogs""
                  ]
}","
let current = 1d;
let auditLookback = 14d;
let AuditTrail = AuditLogs 
| where TimeGenerated >= ago(auditLookback) and TimeGenerated < ago(current) 
| extend InitiatedByApp = tostring(parse_json(tostring(InitiatedBy.app)).displayName)
| where isnotempty(InitiatedByApp)
| extend ModProps = TargetResources.[0].modifiedProperties
| extend IpAddress = tostring(parse_json(tostring(InitiatedBy.app)).ipAddress)
| extend UserPrincipalName = tolower(tostring(TargetResources.[0].userPrincipalName))
| extend TargetResourceName = tolower(tostring(TargetResources.[0].displayName))
| mvexpand ModProps
| extend PropertyName = tostring(ModProps.displayName), newValue = replace(""\"""","""",tostring(ModProps.newValue))
| where isnotempty(newValue) and newValue != ""\""\""""
| summarize  by OperationName, InitiatedByApp, UserPrincipalName, IpAddress, TargetResourceName, PropertyName, newValue;
let AccountMods = AuditLogs 
| where TimeGenerated >= ago(current)
| extend InitiatedByApp = tostring(parse_json(tostring(InitiatedBy.app)).displayName)
| where isnotempty(InitiatedByApp)
| extend ModProps = TargetResources.[0].modifiedProperties
| extend IpAddress = tostring(parse_json(tostring(InitiatedBy.app)).ipAddress)
| extend UserPrincipalName = tolower(tostring(TargetResources.[0].userPrincipalName))
| extend TargetResourceName = tolower(tostring(TargetResources.[0].displayName))
| mvexpand ModProps
| extend PropertyName = tostring(ModProps.displayName), newValue = replace(""\"""","""",tostring(ModProps.newValue))
| where isnotempty(newValue) and newValue != ""\""\""""
| where PropertyName != ""TargetId.UserType""
| extend ModifiedProps = pack(""PropertyName"",PropertyName,""newValue"",newValue, ""Id"", Id, ""CorrelationId"", CorrelationId) 
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), Activity = make_bag(ModifiedProps) by Type, InitiatedByApp, UserPrincipalName, IpAddress, TargetResourceName, Category, OperationName, PropertyName, newValue;
let RareAudits = AccountMods | join kind= leftanti (
   AuditTrail 
) on OperationName, InitiatedByApp, UserPrincipalName, PropertyName, newValue;
RareAudits
| summarize StartTimeUtc = min(StartTimeUtc), EndTimeUtc = max(EndTimeUtc),Activity = make_set(Activity) by InitiatedByApp, OperationName, UserPrincipalName, IpAddress, TargetResourceName
| order by UserPrincipalName asc, StartTimeUtc asc
| extend timestamp = StartTimeUtc, AccountCustomEntity = UserPrincipalName, HostCustomEntity = TargetResourceName, IPCustomEntity = IpAddress
",yes
Rare Audit activity initiated by User,"'Compares the current day to the last 14 days of audits to identify new audit activities by 
OperationName, InitiatedByUser, UserPrincipalName, PropertyName, newValue
This can be useful when attempting to track down malicious activity related to additions of 
new users, additions to groups, removal from groups by specific users.'
",AuditLogs,"{
    ""connectorId"":  ""AzureActiveDirectory"",
    ""dataTypes"":  [
                      ""AuditLogs""
                  ]
}","
let current = 1d;
let auditLookback = 14d;
let AuditTrail = AuditLogs 
| where TimeGenerated >= ago(auditLookback) and TimeGenerated < ago(current) 
| extend InitiatedByUser = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)
| where isnotempty(InitiatedByUser)
| extend InitiatedByIPAddress = tostring(parse_json(tostring(InitiatedBy.user)).ipAddress)
| extend ModProps = TargetResources.[0].modifiedProperties
| extend UserPrincipalName = tolower(tostring(TargetResources.[0].userPrincipalName))
| extend TargetResourceName = tolower(tostring(TargetResources.[0].displayName))
| mvexpand ModProps
| extend PropertyName = tostring(ModProps.displayName), newValue = replace(""\"""","""",tostring(ModProps.newValue))
| summarize count() by OperationName, InitiatedByUser, InitiatedByIPAddress, UserPrincipalName, PropertyName, newValue, TargetResourceName;
let AccountMods = AuditLogs 
| where TimeGenerated >= ago(current)
| extend InitiatedByUser = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)
| where isnotempty(InitiatedByUser)
| extend InitiatedByIPAddress = tostring(parse_json(tostring(InitiatedBy.user)).ipAddress)
| extend ModProps = TargetResources.[0].modifiedProperties
| extend UserPrincipalName = tolower(tostring(TargetResources.[0].userPrincipalName))
| extend TargetResourceName = tolower(tostring(TargetResources.[0].displayName))
| mvexpand ModProps
| extend PropertyName = tostring(ModProps.displayName), newValue = replace(""\"""","""",tostring(ModProps.newValue))
| where PropertyName !in (""TargetId.UserType"", ""StsRefreshTokensValidFrom"", ""LastDirSyncTime"") and (PropertyName != ""Action Client Name"" and newValue != ""\""DirectorySync\"""") and (PropertyName != ""Included Updated Properties"" and newValue != ""\""LastDirSyncTime\"""")
| extend ModifiedProps = pack(""PropertyName"",PropertyName,""newValue"",newValue, ""Id"", Id, ""CorrelationId"", CorrelationId) 
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), Activity = make_bag(ModifiedProps) by Type, InitiatedByUser, InitiatedByIPAddress, UserPrincipalName, Category, OperationName, PropertyName, newValue, TargetResourceName;
let RareAudits = AccountMods | join kind= leftanti (
   AuditTrail 
) on OperationName, InitiatedByUser, InitiatedByIPAddress, UserPrincipalName, PropertyName, newValue;
RareAudits 
| summarize StartTimeUtc = min(StartTimeUtc), EndTimeUtc = max(EndTimeUtc), make_set(Activity) by InitiatedByUser, InitiatedByIPAddress, OperationName, UserPrincipalName, TargetResourceName
| order by UserPrincipalName asc, StartTimeUtc asc
| extend timestamp = StartTimeUtc, AccountCustomEntity = InitiatedByUser, HostCustomEntity = TargetResourceName, IPCustomEntity = InitiatedByIPAddress
",yes
User Granted Access and associated audit activity,"'Identifies when a new user is granted access and any subsequent audit related activity.  This can help you identify rogue or malicious user behavior.'
",AuditLogs,"{
    ""connectorId"":  ""AzureActivity"",
    ""dataTypes"":  [
                      ""AuditLogs""
                  ]
}","let auditLookback = 14d;
let opName = dynamic([""Add user"", ""Invite external user""]);
// Setting threshold to 3 as a default, change as needed.  Any operation that has been initiated by a user or app more than 3 times in the past 14 days will be excluded
let threshold = 3;
// Helper function to extract relevant fields from AuditLog events
let auditLogEvents = view (startTimeSpan:timespan)  {
    AuditLogs | where TimeGenerated >= ago(auditLookback)
    | extend ModProps = iff(TargetResources.[0].modifiedProperties != ""[]"", TargetResources.[0].modifiedProperties, todynamic(""NoValues""))
    | extend IpAddress = iff(isnotempty(tostring(parse_json(tostring(InitiatedBy.user)).ipAddress)), 
    tostring(parse_json(tostring(InitiatedBy.user)).ipAddress), tostring(parse_json(tostring(InitiatedBy.app)).ipAddress))
    | extend InitiatedByFull = iff(isnotempty(tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)), 
    tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), tostring(parse_json(tostring(InitiatedBy.app)).displayName))
    | extend InitiatedBy = replace(""_"",""@"",tostring(split(InitiatedByFull, ""#"")[0]))
    | extend TargetUserPrincipalName = tostring(TargetResources[0].userPrincipalName)
    | extend TargetUserName = replace(""_"",""@"",tostring(split(TargetUserPrincipalName, ""#"")[0]))
    | extend TargetResourceName = case(
    isempty(tostring(TargetResources.[0].displayName)), TargetUserPrincipalName,
    isnotempty(tostring(TargetResources.[0].displayName)) and tostring(TargetResources.[0].displayName) startswith ""upn:"", tolower(tostring(TargetResources.[0].displayName)),
    tolower(tostring(TargetResources.[0].displayName))
    )
    | extend TargetUserName = replace(""_"",""@"",tostring(split(TargetUserPrincipalName, ""#"")[0]))
    | extend TargetUserName = iff(isempty(TargetUserName), tostring(split(split(TargetResourceName, "","")[0], "" "")[1]), TargetUserName ) 
    | mvexpand ModProps
    | extend PropertyName = tostring(ModProps.displayName), newValue = replace(""\"""","""",tostring(ModProps.newValue));
};
let HistoricalAdd = auditLogEvents(auditLookback)
| where OperationName in~ (opName)
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), OperationCount = count() 
by Type, InitiatedBy, IpAddress, TargetUserName, TargetResourceName, Category, OperationName, PropertyName, newValue, CorrelationId, Id
// Remove comment below to only include operations initiated by a user or app that is above the threshold for the last 14 days
| where OperationCount > threshold
;
// Get list of new added users to correlate with all other events
let Correlate = HistoricalAdd 
| summarize by InitiatedBy, TargetUserName, CorrelationId;
// Get all other events related to list of newly added users
let allOtherEvents = auditLogEvents(auditLookback);
// Join the new added user list to get the list of associated events
let CorrelatedEvents = Correlate 
| join allOtherEvents on InitiatedBy, TargetUserName
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated) 
by Type, InitiatedBy, IpAddress, TargetUserName, TargetResourceName, Category, OperationName, PropertyName, newValue, CorrelationId, Id
;
// Union the results so we can see when the user was added and any associated events that occurred during the same time.
let Results = union isfuzzy=true HistoricalAdd,CorrelatedEvents;
// newValues that are simple semi-colon separated, make those dynamic for easy viewing and Aggregate into the PropertyUpdate set based on CorrelationId and Id(DirectoryId)
Results
| extend newValue = split(newValue, "";"")
| extend PropertyUpdate = pack(PropertyName, newValue, ""Id"", Id)
| summarize StartTimeUtc = min(StartTimeUtc), EndTimeUtc = max(EndTimeUtc), PropertyUpdateSet = make_bag(PropertyUpdate) 
by InitiatedBy, IpAddress, TargetUserName, TargetResourceName, OperationName, CorrelationId
| extend timestamp = StartTimeUtc, AccountCustomEntity = InitiatedBy, HostCustomEntity = TargetResourceName, IPCustomEntity = IpAddress
",yes
User Granted Access and Grants others Access,"'Identifies when a new user is granted access and starts granting access to other users.  This can help you identify rogue or malicious user behavior.'
",AuditLogs,"{
    ""connectorId"":  ""AzureActivity"",
    ""dataTypes"":  [
                      ""AzureActivity""
                  ]
}","let auditLookback = 14d;
let opName = dynamic([""Add user"", ""Invite external user""]);
// Helper function to extract relevant fields from AuditLog events
let auditLogEvents = view (startTimeSpan:timespan, operation:dynamic)  {
    AuditLogs | where TimeGenerated >= ago(auditLookback)
    | where OperationName in~ (operation)
    | extend ModProps = iff(TargetResources.[0].modifiedProperties != ""[]"", TargetResources.[0].modifiedProperties, todynamic(""NoValues""))
    | extend IpAddress = iff(isnotempty(tostring(parse_json(tostring(InitiatedBy.user)).ipAddress)), 
    tostring(parse_json(tostring(InitiatedBy.user)).ipAddress), tostring(parse_json(tostring(InitiatedBy.app)).ipAddress))
    | extend InitiatedByFull = iff(isnotempty(tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)), 
    tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), tostring(parse_json(tostring(InitiatedBy.app)).displayName))
    | extend InitiatedBy = replace(""_"",""@"",tostring(split(InitiatedByFull, ""#"")[0]))
    | extend TargetUserPrincipalName = tostring(TargetResources[0].userPrincipalName)
    | extend TargetUserName = replace(""_"",""@"",tostring(split(TargetUserPrincipalName, ""#"")[0]))
    | extend TargetResourceName = case(
    isempty(tostring(TargetResources.[0].displayName)), TargetUserPrincipalName,
    isnotempty(tostring(TargetResources.[0].displayName)) and tostring(TargetResources.[0].displayName) startswith ""upn:"", tolower(tostring(TargetResources.[0].displayName)),
    tolower(tostring(TargetResources.[0].displayName))
    )
    | extend TargetUserName = replace(""_"",""@"",tostring(split(TargetUserPrincipalName, ""#"")[0]))
    | extend TargetUserName = iff(isempty(TargetUserName), tostring(split(split(TargetResourceName, "","")[0], "" "")[1]), TargetUserName ) 
    | mvexpand ModProps
    | extend PropertyName = tostring(ModProps.displayName), newValue = replace(""\"""","""",tostring(ModProps.newValue));
};
// Assigning time for First TargetUserName that was added
let FirstAdd = auditLogEvents(auditLookback, opName)  
| project FirstAddTimeUtc = TimeGenerated, Type, FirstInitiatedBy = InitiatedBy, IpAddress, FirstTargetUserName = TargetUserName, FirstTargetResourceName = TargetResourceName, 
FirstOperationName = OperationName, FirstPropertyName = PropertyName, FirstnewValue = newValue, FirstCorrelationId = CorrelationId, FirstId = Id;
// Assigning time for second TargetUserName that was added, which will allow us to see if a first TargetUserName added in is the Initiated by on the second in the later join
let SecondAdd = auditLogEvents(auditLookback, opName)  
| project SecondAddTimeUtc = TimeGenerated, Type, SecondInitiatedBy = InitiatedBy, IpAddress, SecondTargetUserName = TargetUserName, SecondTargetResourceName = TargetResourceName, 
SecondOperationName = OperationName, SecondPropertyName = PropertyName, SecondnewValue = newValue, SecondCorrelationId = CorrelationId, SecondId = Id;
//  Joining the FirstAdd with SecondAdd where the FirstAdd TargetUserName value matches the SecondAdd InitiatedBy.  This shows the new user adding a user.
let NewUserAddsUser = FirstAdd | join SecondAdd on $left.FirstTargetUserName == $right.SecondInitiatedBy
// we only want items where the FirstAddTimeUtc is before the SecondAddTimeUtc
| where FirstAddTimeUtc < SecondAddTimeUtc
;
// Build out some of the properties for context
NewUserAddsUser
| extend FirstnewValue = split(FirstnewValue, "";""), SecondnewValue = split(SecondnewValue, "";"")
| extend PropertyUpdate = pack(FirstPropertyName, FirstnewValue, SecondPropertyName, SecondnewValue, ""FirstCorrelationId"", FirstCorrelationId, ""FirstId"", FirstId, ""SecondCorrelationId"", SecondCorrelationId, ""SecondId"", SecondId)
| summarize PropertyUpdateSet = make_bag(PropertyUpdate) by FirstAddTimeUtc, FirstInitiatedBy, FirstTargetUserName, SecondAddTimeUtc, SecondInitiatedBy, SecondTargetUserName, 
IpAddress, FirstTargetResourceName, SecondTargetResourceName, FirstOperationName, SecondOperationName
| extend timestamp = FirstAddTimeUtc, AccountCustomEntity = FirstInitiatedBy, HostCustomEntity = FirstTargetResourceName, IPCustomEntity = IpAddress
",yes
Changes made to AWS IAM policy,"Identity and Access Management (IAM) securely manages access to AWS services and resources. 
This query looks for when an API call is made to change an IAM, particularly those related to new policies being 
attached to users and roles, as well as changes to access methods and changes to account level policies. 
If these turn out to be noisy filter out the most common for your environment.  
",AWSCloudTrail,"{
    ""connectorId"":  ""AWS"",
    ""dataTypes"":  [
                      ""AWSCloudTrail""
                  ]
}","
let timeframe = 7d;
AWSCloudTrail
| where TimeGenerated >= ago(timeframe)
| where  EventName in~ (""AttachGroupPolicy"", ""AttachRolePolicy"", ""AttachUserPolicy"", ""CreatePolicy"",
""DeleteGroupPolicy"", ""DeletePolicy"", ""DeleteRolePolicy"", ""DeleteUserPolicy"", ""DetachGroupPolicy"",
""PutUserPolicy"", ""PutGroupPolicy"", ""CreatePolicyVersion"", ""DeletePolicyVersion"", ""DetachRolePolicy"", ""CreatePolicy"")
| project TimeGenerated, EventName, EventTypeName, UserIdentityAccountId, UserIdentityPrincipalid, UserAgent, 
UserIdentityUserName, SessionMfaAuthenticated, SourceIpAddress, AWSRegion, EventSource, AdditionalEventData, ResponseElements
| extend timestamp = TimeGenerated, IPCustomEntity = SourceIpAddress, AccountCustomEntity = UserIdentityAccountId
",no
IAM Privilege Escalation by Instance Profile attachment,"'An instance profile is a container for an IAM role that you can use to pass role information to an EC2 instance when the instance start.
Identifies when existing role is removed and new/existing high privileged role is added to instance profile. 
Any instance with this instance profile attached is able to perform privileged operations.
AWS Instance Profile: https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_use_switch-role-ec2_instance-profiles.html
and CloudGoat - IAM PrivilegeEscalation by Attachment: https://github.com/RhinoSecurityLabs/cloudgoat/tree/master/scenarios/iam_privesc_by_attachment'
",AWSCloudTrail,"{
    ""connectorId"":  ""AWS"",
    ""dataTypes"":  [
                      ""AWSCloudTrail""
                  ]
}","
let timeframe = 1d;
// Creating separate table for RemoveRoleToInstanceProfile
let RemoveRole=AWSCloudTrail
| where TimeGenerated >= ago(timeframe)
| where  EventName in~ (""RemoveRoleFromInstanceProfile"") and isempty(ErrorMessage)
| extend RoleRemoved = tostring(parse_json(RequestParameters).roleName), InstanceProfileName = tostring(parse_json(RequestParameters).instanceProfileName), TimeRemoved=TimeGenerated
| extend UserIdentityUserName = iff(isnotempty(UserIdentityUserName), UserIdentityUserName, tostring(split(UserIdentityArn,'/')[-1]))
| summarize RoleRemovedCount= dcount(TimeRemoved) by TimeRemoved, EventName, EventTypeName, UserIdentityArn, UserIdentityUserName, UserIdentityAccountId, UserIdentityPrincipalid, UserAgent, 
SourceIpAddress, AWSRegion, EventSource, RoleRemoved, InstanceProfileName;
// Creating separate table for AddRoleToInstanceProfile
let AddRole=AWSCloudTrail
| where TimeGenerated >= ago(timeframe)
| where  EventName in~ (""AddRoleToInstanceProfile"") and isempty(ErrorMessage)
| extend UserIdentityUserName = iff(isnotempty(UserIdentityUserName), UserIdentityUserName, tostring(split(UserIdentityArn,'/')[-1]))
| extend RoleAdded = tostring(parse_json(RequestParameters).roleName), InstanceProfileName = tostring(parse_json(RequestParameters).instanceProfileName), TimeAdded=TimeGenerated
| summarize RoleAddedCount= dcount(TimeAdded) by TimeAdded, EventName, EventTypeName, UserIdentityArn, UserIdentityUserName, UserIdentityAccountId, UserIdentityPrincipalid, UserAgent, 
SourceIpAddress, AWSRegion, EventSource, RoleAdded, InstanceProfileName;
//Joining both operations from the same source IP, user and instance profile name
RemoveRole
| join kind= inner (
   AddRole 
) on AWSRegion,SourceIpAddress, InstanceProfileName, UserIdentityUserName
| where TimeAdded  > TimeRemoved // Checking if RoleAdd operation was performed after removal
| summarize TotalCount=count() by TimeAdded, TimeRemoved, RoleAdded, RoleRemoved, UserIdentityUserName, UserIdentityAccountId, UserIdentityPrincipalid, UserAgent,
SourceIpAddress, AWSRegion, EventSource, RoleRemovedCount, RoleAddedCount
| extend timestamp = iff(TimeAdded > TimeRemoved,TimeAdded, TimeRemoved), IPCustomEntity = SourceIpAddress, AccountCustomEntity = UserIdentityUserName
",no
Privileged role attached to Instance,"'Identity and Access Management (IAM) securely manages access to AWS services and resources. 
Identifies when a Privileged role is attached to an existing instance or new instance at deployment. This instance may be used by an adversary to escalate a normal user privileges to an adminsitrative level.
and AWS API AddRoleToInstanceProfile at https://docs.aws.amazon.com/IAM/latest/APIReference/API_AddRoleToInstanceProfile.html'
",AWSCloudTrail,"{
    ""connectorId"":  ""AWS"",
    ""dataTypes"":  [
                      ""AWSCloudTrail""
                  ]
}","
let EventNameList = dynamic([""AttachUserPolicy"",""AttachRolePolicy"",""AttachGroupPolicy""]);
let PolicyArnList = dynamic([""arn:aws:iam::aws:policy/AdministratorAccess"",""arn:aws:iam::aws:policy/DatabaseAdministrator"",""arn:aws:iam::aws:policy/NetworkAdministrator"",""arn:aws:iam::aws:policy/SystemAdministrator"",""arn:aws:iam::aws:policy/AmazonS3FullAccess""]);
let timeframe = 1d;
let lookback = 14d;
//Creating a temp table of events creating privileged role or users which can later be correlated with suspicious operations.
let PrivilegedRoleorUsers = AWSCloudTrail
| where TimeGenerated >= ago(lookback) 
| where EventName in (EventNameList)
| extend PolicyArn = tostring(parse_json(RequestParameters).policyArn), RoleName = tostring(parse_json(RequestParameters).roleName)
| where PolicyArn in (PolicyArnList)
| distinct PolicyArn, UserIdentityType, UserIdentityUserName,RoleName;
// Joining the list of identities having Privileged roles with the API call AddRoleToInstanceProfile to indentify the instances which may be used by adversaries as pivot point for privilege escalation.
PrivilegedRoleorUsers
| join (
AWSCloudTrail
| where TimeGenerated >= ago(timeframe)
| where EventName in (""AddRoleToInstanceProfile"") 
| extend InstanceProfileName = tostring(parse_json(RequestParameters).InstanceProfileName), RoleName = tostring(parse_json(RequestParameters).roleName)
| summarize EventCount=count(), StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated) by EventSource, EventName, UserIdentityType , UserIdentityArn , UserIdentityUserName, SourceIpAddress, RoleName
) on RoleName 
| extend timestamp = StartTimeUtc, IPCustomEntity = SourceIpAddress, AccountCustomEntity = RoleName
",no
Suspicious credential token access of valid IAM Roles,"'Adversaries may generate temporary credentials of existing privileged IAM roles to access AWS resources that were not previously accessible to perform malicious actions. The credentials may be generated by trusted IAM user or via AWS Cloud Instance Metadata API.
This query will look for AWS STS API Assume Role operations for RoleArn (Role Amazon Resource Names) which was not historically seen.
You can also limit the query to only sensitive IAM Roles which needs to be monitored.
Read more about ingest custom logs using Logstash at https://github.com/Azure/Azure-Sentinel/wiki/Ingest-Custom-Logs-LogStash 
AWS API AssumeRole at https://docs.aws.amazon.com/STS/latest/APIReference/API_AssumeRole.html and AWS Instance Metadata API at https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-instance-metadata.html '
",AWSCloudTrail,"{
    ""connectorId"":  ""AWS"",
    ""dataTypes"":  [
                      ""AWSCloudTrail""
                  ]
}","
let starttime = 14d;
let midtime = 2d;
let endtime = 1d;
// Generating historical table of AssumeRole operations for IAM Roles to be compared with last 24 hour
AWSCloudTrail
| where TimeGenerated >= ago(endtime)
| where EventName == ""AssumeRole"" | extend RoleArn = tostring(parse_json(RequestParameters).roleArn)
| project TimeGenerated, EventSource, EventName, UserIdentityType, UserIdentityInvokedBy , SourceIpAddress, RoleArn
// Doing Leftanti join to find new AssumeRole operation for IAM role which was not seen historically generated from previous table.
| join kind= leftanti
(
  AWSCloudTrail
  | where TimeGenerated  between (ago(starttime)..ago(midtime))
  | where EventName == ""AssumeRole"" | extend RoleArn = tostring(parse_json(RequestParameters).roleArn)
  | project TimeGenerated, EventSource, EventName, UserIdentityType, UserIdentityInvokedBy , SourceIpAddress, RoleArn
) on RoleArn, UserIdentityInvokedBy
| summarize EventCount = count(), StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated) by RoleArn, EventSource, EventName, UserIdentityType, UserIdentityInvokedBy, SourceIpAddress
| extend timestamp = StartTimeUtc, IPCustomEntity = SourceIpAddress, AccountCustomEntity = tostring(split(RoleArn, ""/"")[1])
",no
Unused or Unsupported Cloud Regions,"'Adversaries may create cloud instances in unused geographic service regions in order to evade detection. 
Access is usually obtained through compromising accounts used to manage cloud infrastructure.
Refer: https://attack.mitre.org/techniques/T1535/'
",AWSCloudTrail,"{
    ""connectorId"":  ""AWS"",
    ""dataTypes"":  [
                      ""AWSCloudTrail""
                  ]
}","
let starttime = 14d;
let midtime = 2d;
let endtime = 1d;
// Generating historical table of all events per AccountId and Region
let EventInfo_CurrentDay =  materialize (AWSCloudTrail | where TimeGenerated >= ago(endtime));
let EventInfo_historical = AWSCloudTrail  | where TimeGenerated  between (ago(starttime)..ago(midtime)) | summarize max(TimeGenerated) by AWSRegion, UserIdentityAccountId; 
// Doing Leftanti join to find new regions historically not seen for the same account.
let EventInfo_Unseen = materialize (
EventInfo_CurrentDay
| summarize max(TimeGenerated) by AWSRegion, UserIdentityAccountId
| join kind= leftanti
(
  EventInfo_historical
) on AWSRegion, UserIdentityAccountId
);
EventInfo_Unseen
// Join Ununsed region seen with current data to gather context about API events seen
| join kind= inner (
   EventInfo_CurrentDay
) on AWSRegion, UserIdentityAccountId
| extend UnusedRegion = AWSRegion
| extend UserIdentityUserName = iff(isnotempty(UserIdentityUserName), UserIdentityUserName, tostring(split(UserIdentityArn,'/')[-1]))
| summarize EventCount = count(), StartTime = min(TimeGenerated), EndTime = max(TimeGenerated), EventNameList=make_set(EventName), IPList=make_set(SourceIpAddress) by UserIdentityAccountId, UnusedRegion, UserIdentityUserName
| extend timestamp = StartTime , AccountCustomEntity = UserIdentityUserName
",no
