Name,displayName,description,templatecontent,dependeddatatypes,dependedconnector,availableinmooncake
ASC Compliance and Protection,security - ASC Compliance and Protection,"Gain insight into regulatory compliance, alert trends, security posture, and more with this workbook based on Azure Security Center data.",ASC-ComplianceandProtection.json,"SecurityEventSecurityAlert
ProtectionStatus
SecurityRecommendation
SecurityBaseline
SecurityBaselineSummary
Update
ConfigurationChange",AzureSecurityCenter,yes
Azure AD Audit logs,security - Azure AD Audit logs,"Gain insights into Azure Active Directory by connecting Azure Sentinel and using the audit logs to gather insights around Azure AD scenarios. 
You can learn about user operations, including password and group management, device activities, and top active users and apps.",AzureActiveDirectoryAuditLogs.json,AuditLogs,AzureActiveDirectory,yes
Check Point Software Technologies,security - Check Point Software Technologies,"Gain insights into Check Point network activities, including number of gateways and servers, security incidents, and identify infected hosts.",CheckPoint.json,CommonSecurityLog,CheckPoint,no
Azure AD Sign-in logs,security - Azure AD Sign-in logs,"Gain insights into Azure Active Directory by connecting Azure Sentinel and using the sign-in logs to gather insights around Azure AD scenarios. 
You can learn about sign-in operations, such as user sign-ins and locations, email addresses, and  IP addresses of your users, as well as failed activities and the errors that triggered the failures.",AzureActiveDirectorySignins.json,SigninLogs,AzureActiveDirectory,yes
Exchange Online,security - Exchange Online,"Gain insights into Microsoft Exchange online by tracing and analyzing all Exchange operations and user activities.
This workbook let you monitor user activities, including logins, account operations, permission changes, and mailbox creations to discover suspicious trends among them.",ExchangeOnline.json,OfficeActivity,Office365,no
Palo Alto overview,security - Palo Alto overview,"Gain insights and comprehensive monitoring into Palo Alto firewalls by analyzing traffic and activities.
This workbook correlates all Palo Alto data with threat events to identify suspicious entities and relationships.
You can learn about trends across user and data traffic, and drill down into Palo Alto Wildfire and filter results.",PaloAltoOverview.json,CommonSecurityLog,PaloAltoNetworks,no
Palo Alto Network Threat,security - Palo Alto Network Threat,"Gain insights into Palo Alto network activities by analyzing threat events.
You can extract meaningful security information by correlating data between threats, applications, and time.
This workbook makes it easy to track malware, vulnerability, and virus log events.",PaloAltoNetworkThreat.json,CommonSecurityLog,PaloAltoNetworks,no
Eset Security Management Center Overview,security - Eset Security Management Center Overview,Visualize events and threats from Eset Security Management Center.,esetSMCWorkbook.json,eset_CL,EsetSMC,no
FortiGate,security - FortiGate,"Gain insights into Fortigate firewalls by analyzing traffic and activities.
This workbook finds correlations in Fortigate threat events and identifies suspicious ports, users, protocols and IP addresses.
You can learn about trends across user and data traffic, and drill down into the Fortigate filter results.
Easily detect attacks on your organization by monitoring management operations such as configuration and logins.",Fortigate.json,CommonSecurityLog,Fortinet,no
DNS,security - DNS,"Gain extensive insight into your organization's DNS by analyzing, collecting and correlating all DNS events.
This workbook exposes a variety of information about suspicious queries, malicious IP addresses and domain operations.",Dns.json,"CommonSecurityLogDnsInventory
DnsEvents",DNS,no
